election,race_id,poll_id,question_id,state,start_date,end_date,sample_size,Dem,GOP,URL
2016,2016,2016001,2,Alabama,2016-09-27,2016-09-27,3000,960,1440,http://wkrg.com/2016/09/29/trump-support-slipping-slightly-in-alabama/
2016,2016,2016002,2,Alaska,2016-09-28,2016-10-02,660,277,304,http://www.adn.com/politics/2016/10/08/new-poll-shows-trump-leads-in-presidential-race-in-alaska-but-not-by-much/
2016,2016,2016003,4,Alaska,2016-10-21,2016-10-26,400,188,172,https://web.archive.org/web/20161030021510/http://www.craciunresearch.com/wp-content/uploads/2016/10/Press-Release_Presidential-Election-2016_Alaska-Survey_Craciun-Research-_102916.pdf
2016,2016,2016004,4,Alaska,2016-10-11,2016-10-13,500,180,185,http://midnightsunak.com/2016/10/16/midnight-sun-exclusive-new-poll-shows-trump-clinton-tied-alaska/
2016,2016,2016005,4,Alaska,2016-10-05,2016-10-06,500,170,185,http://midnightsunak.com/2016/10/07/murkowski-polling-data-shows-clinton-3-points-alaska/
2016,2016,2016002,4,Alaska,2016-09-28,2016-10-02,660,155,180,http://www.adn.com/politics/2016/10/08/new-poll-shows-trump-leads-in-presidential-race-in-alaska-but-not-by-much/
2016,2016,2016006,2,Arizona,2016-10-30,2016-11-07,719,295,331,http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626
2016,2016,2016007,2,Arizona,2016-10-27,2016-11-01,769,354,392,http://i2.cdn.turner.com/cnn/2016/images/11/02/relaz2.pdf
2016,2016,2016008,2,Arizona,2016-10-06,2016-10-18,1538,584,692,https://web.archive.org/web/20161026000747/http://ipsos-na.com/download/pr.aspx?id=16061
2016,2016,2016009,2,Arizona,2016-09-06,2016-09-08,649,266,273,http://www.nbcnews.com/politics/2016-election/clinton-trump-deadlocked-battleground-states-polls-n646216
2016,2016,2016010,3,Arizona,2016-10-11,2016-10-12,550,236,231,http://us12.campaign-archive2.com/?u=5a280d25318f2afe3f311adb6&id=287ad48d38
2016,2016,2016011,3,Arizona,2016-09-20,2016-09-22,550,209,220,http://us12.campaign-archive2.com/?u=5a280d25318f2afe3f311adb6&id=ff56065af6&e=3783c2dfd6
2016,2016,2016012,4,Arizona,2016-11-04,2016-11-06,392,176,184,https://web.archive.org/web/20161108135928/http://www.insightswest.com/news/clinton-is-ahead-of-trump-as-u-s-presidential-election-approaches/
2016,2016,2016013,4,Arizona,2016-11-01,2016-11-02,550,214,258,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide_LivePoll_Report_11_3.pdf
2016,2016,2016006,4,Arizona,2016-10-30,2016-11-01,719,288,342,http://www.nbcnews.com/politics/2016-election/polls-trump-ahead-arizona-texas-deadlocked-georgia-n677626
2016,2016,2016007,4,Arizona,2016-10-27,2016-11-01,769,338,377,http://i2.cdn.turner.com/cnn/2016/images/11/02/relaz2.pdf
2016,2016,2016014,4,Arizona,2016-10-29,2016-10-31,2229,1003,981,https://www.scribd.com/document/329707080/Saguaro-Strategies-Arizona-Survey-October-29-31
2016,2016,2016015,4,Arizona,2016-10-29,2016-10-31,700,301,329,http://media.wix.com/ugd/3bebb2_6ee2070379ba4a88bff29b1fa5aae9e0.pdf
2016,2016,2016016,4,Arizona,2016-10-29,2016-10-30,550,226,248,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide__LivePoll__Toplines_10_30.pdf
2016,2016,2016017,4,Arizona,2016-10-26,2016-10-28,994,417,437,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/6mg2jgp2wr/AZ_Final_20161030.pdf
2016,2016,2016018,4,Arizona,2016-10-26,2016-10-27,550,220,231,https://gallery.mailchimp.com/5a280d25318f2afe3f311adb6/files/AZ_Statewide_LivePoll_Demographics_10_27.01.pdf
2016,2016,2016019,4,Arizona,2016-10-21,2016-10-24,2385,1145,1097,https://www.scribd.com/document/329155539/Saguaro-Strategies-General-Election-Survey-October-22-24
